Number,Name,Type,Extra information,Rule,Attack,Damage
38,Distant Diversion,Rogue Utility Power,The monster turns to investigate the sound of a thrown pebble.,"Choose one Monster within 3 tiles of you.
Place that Monster onto an adjacent tile.",,
39,Practiced Evasion,Rogue Utility Power,A quick flip and quicker fingers disables the trap.,"Use this power when you are hit by an attack from a Trap or Event Attack Encounter Card.
The attack misses. If the attack was from a Trap Encounter Card, you get a free Disable check against that Trap.",,
40,Tumbling Escape,Rogue Utility Power,You nimbly roll out of harm's way.,"Use this power when a Monster hits you with an attack.
The attack misses. Place your Hero on any tile within 1 tile of where you started.",,
41,Hurled Breath,Dragonborn Daily Power,"You hurl your draconic breath, engulfing your foes a short distance away.","Choose a tile within 2 tiles of you. Attack each Monster on that tile.
This attack does not count as an attack action.",+5,1
42,Arc Lightning,Wizard At-Will Power,"Lightning leaps from your outstretched hands, blasting your foes.",Attack up to two Monsters. Each monster can be on your tile or any tile within 1 tile of you.,+7,1
43,Hypnotism,Wizard At-Will Power,Your enemy's mouth goes slack as your magic takes control.,"Choose a Monster within 1 tile of you. Move that Monster 1 tile. If it ends adjacent to another Monster, make an attack against the second Monster.",+9,1
44,Ray of Frost,Wizard At-Will Power,"A blistering ray of white frost streaks to your target, slowing its reactions.",Attack one Monster on your tile or on any tile within 2 tiles of you.,+7,1
45,Flaming Sphere,Wizard Daily Power,You conjure a rolling ball of fire and control where it goes.,"Place 3 Flaming Sphere tokens in a stack on any square within 1 tile of you.
Instead of moving during your Hero phase, you can move the Flaming Sphere stack 1 tile.
At the end of your Hero Phase, you can remove 1 Flaming Sphere token and deal 1 damage to each Monster on that tile.",,
46,Shock Sphere,Wizard Daily Power,"You hurl a crackling orb of lightning, engulfing your foes in its electric embrace.",Choose a tile within 2 tiles of you. Attack each Monster on that tile.,+9,"2
Miss: 1 Damage"
47,Spectral Ram,Wizard Daily Power,You bash your foe with arcane force that sends it reeling.,"Attack one Monster within 2 tiles of you.
Hit or Miss: Place the Monster onto any tile within 2 tiles of where it started.",+9,"3
Miss: 1 Damage"
48,Invisibility,Wizard Utility Power,You vanish from sight.,"Use this power during your Hero Phase.
Until the start of your next Hero Phase, you do not count as the closest Hero for any Monster's tactics.
Monster attacks that attack every Hero on a tile still attack you.",,
49,Mirror Image,Wizard Utility Power,You create three duplicate images of yourself.,"Use this power during your Hero Phase.
Place 3 Mirror Image tokens on your Hero Card.
For each Mirror Image token on your Hero Card, you gain +2 AC. Whenever a Monster misses you with an attack, remove 1 Mirror Image token. ",,
50,Wizard Eye,Wizard Utility Power,"You see through a magical hovering eye, allowing you to explore from a distance.","Use this power during your Hero Phase.
Place the Wizard Eye token on a tile within 1 tile of you.
Instead of moving during your Hero Phase, you can move the Wizard Eye marker 1 tile.
During your Exploration Phase, you can explore as if your Hero was on any unexplored edge on the Wizard Eye's tile.",,
